unit_code,program,do_tuoi,level,sub_level,unit_type,assessment,sessions,duration_month,thoi_luong_buoi_phut,order_global,topic_no,chu_de,bai_hoc,tu_duy_khai_niem_dat_duoc,ghi_chu
U2.1,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,1,1,Bạn bè,"Sách kể chuyện: Gum, Gum, Gummy",Cặp tương ứng 1-1 (Tư duy toán học),Bộ trò chơi Play Kit: Bữa ăn phụ
U2.2,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,2,1,Bốn mùa I (Mùa Thu),Sách kể chuyện: Gummy và 7 chú vịt con,Đếm số (Tư duy Toán học),Bộ trò chơi Play Kit: Táo và Lê
U2.3,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,3,1,Gia đình và Hàng xóm,Sách kể chuyện: Gummy trông trẻ,Một phần và toàn bộ (Tư duy Logic),Bộ trò chơi Play Kit: Một nửa và Một nửa
U2.4,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,4,1,Thiên nhiên,Sách kể chuyện: Gummy & những chú sóc con,Tạo và tách số (Tư duy toán học); Các số từ 0 đến 10,Bộ trò chơi Play Kit: Hái cherry
U2.5,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,5,1,Bốn mùa II (Mùa Đông),Sách kể chuyện: Gummy đi tới trung tâm thương mại,Kỹ năng diễn giải - Hiểu các ký hiệu và biểu tượng bé nhìn thấy hàng ngày,Bộ trò chơi Play Kit: Ký hiệu mất tích
U2.5+,UCREA,3–5 tuổi,U2,,REVIEW,Thi giữa kỳ,4,1,90,6,1,Ôn tập giữa kỳ,Ôn tập U1.1 – U1.5,"Củng cố kiến thức, đánh giá giữa kỳ",
U2.6,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,7,1,Khỏe mạnh và An toàn,Sách kể chuyện: Hành trình giải cứu của Gummy,Khả năng suy luận (Tư duy Logic) - Sắp xếp các sự kiện dựa vào tranh,Bộ trò chơi Play Kit: Cừu nhỏ Baba
U2.7,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,8,1,Bốn Mùa III (Xuân),Sách kể chuyện: Lâu đài của người khổng lồ,"Nhận biết về không gian (Tư duy Toán học): Trên, dưới",Bộ trò chơi Play Kit: Mê cung Trên – Dưới
U2.8,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,9,1,Vòng quanh thế giới,Sách kể chuyện: Gummy tới lễ hội,Kỹ năng linh hoạt (Tư duy sáng tạo),Bộ trò chơi Play Kit: Đọc lên nào
U2.9,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,10,1,Công cụ,Sách kể chuyện: Ở cửa hàng bánh gạo,"Hình dạng hoàn chỉnh & Hình dạng một phần - Phân biệt một nửa của hình dạng; Từ một hình đã hoàn chỉnh hoặc/và một phần của nó, tạo ra các hình mới",Bộ trò chơi Play Kit: Hình dạng
U2.10,UCREA,3–5 tuổi,U2,,LESSON,,4,1,90,11,1,Bốn Mùa IV (Mùa Hè),Sách kể chuyện: Gummy và ông lão Hodgepodge,Thiết lập tiêu chuẩn (Tư duy Logic) - Lựa chọn và phân loại các đồ vật dựa trên các thuộc tính giống nhau,Bộ trò chơi Play Kit: Kỳ nghỉ hè
U1.10+,UCREA,3–5 tuổi,U2,,REVIEW,Thi cuối kỳ,4,1,90,12,1,Ôn tập cuối kỳ,Ôn tập U1.6 – U1.10,"Củng cố kiến thức, đánh giá cuối kỳ",
U3.1,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,13,1,Bạn bè,Sách kể chuyện: Anky hay bắt chước,Nhận dạng kiểu mẫu (Tư duy toán học),Bộ trò chơi Play Kit: Kiểu mẫu vui nhộn
U3.2,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,14,1,Bốn mùa I (Mùa Thu),Sách kể chuyện: Những cuộc phiêu lưu mùa thu,So sánh chiều dài (Tư duy Toán học),Bộ trò chơi Play Kit: Xe tải chở hoa
U3.3,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,15,1,Gia đình và Hàng xóm,Sách kể chuyện: Rex và chiếc xe đẩy thần kỳ,Phép toán (Tư duy Toán học),Bộ trò chơi Play Kit: Đi bắt khủng long
U3.4,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,16,1,Thiên nhiên,Sách kể chuyện: Bữa tiệc Giáng sinh của Rex,Luật bắc cầu (Tư duy Logic) - Nếu A=B và B=C thì A=C; Nếu A<B và B<C thì A<C,Bộ trò chơi Play Kit: Sao vàng
U3.5,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,17,1,Bốn mùa II (Mùa Đông),Sách kể chuyện: Anh có phải là anh trai em?,Nhận diện đặc điểm chung (Tư duy Logic) - Phân biệt vật không có đặc điểm chung với các vật còn lại; tìm ra vật khác biệt,Bộ trò chơi Play Kit: Gia đình tôi
U3.5+,UCREA,3–5 tuổi,U3,,REVIEW,Thi giữa kỳ,4,1,90,18,1,Ôn tập giữa kỳ,Ôn tập U2.1 – U2.5,"Củng cố kiến thức, đánh giá giữa kỳ",
U3.6,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,19,1,Khỏe mạnh và An toàn,Sách kể chuyện: Rex đi cắm trại,Phép loại suy (Tư duy Logic) - Loại suy với ngôn ngữ,Bộ trò chơi Play Kit: Đoán xem đây là gì?
U3.7,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,20,1,Bốn Mùa III (Xuân),Sách kể chuyện: Ngày hội cánh đồng vui vẻ,Đóng và Mở (Tư duy Toán học) - Hình đóng và hình mở,Bộ trò chơi Play Kit: Ngôi sao lấp lánh
U3.8,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,21,1,Vòng quanh thế giới,Sách kể chuyện: Công viên giải trí toàn cầu Rex,Khả năng làm việc tỉ mỉ (Tư duy sáng tạo) - Làm nổi bật các ý tưởng bằng cách đưa thêm chi tiết,Bộ trò chơi Play Kit: Chuyến du lịch vòng quanh thế giới
U3.9,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,22,1,Công cụ,Sách kể chuyện: Giúp đỡ thầy Dino,Tìm hàng giá trị trong hệ cơ số 10 (Tư duy Toán học) - Nguyên tắc con số thay đổi dựa vào vị trí của nó. VD: 10+1=11,Bộ trò chơi Play Kit: Đi chợ
U3.10,UCREA,3–5 tuổi,U3,,LESSON,,4,1,90,23,1,Bốn Mùa IV (Mùa Hè),Sách kể chuyện: Tiệm kem của Rex,Phân loại phức hợp (Tư duy Logic) - Phân loại dựa trên hai tiêu chí,Bộ trò chơi Play Kit: Chấm chậm
U3.10+,UCREA,3–5 tuổi,U3,,REVIEW,Thi cuối kỳ,4,1,90,24,1,Ôn tập cuối kỳ,Ôn tập U2.6 – U2.10,"Củng cố kiến thức, đánh giá cuối kỳ",
U4.1,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,25,1,Bạn bè,Sách kể chuyện: Truy tìm chìa khóa,"Khả năng nhận diện không gian (Tư duy toán học) - Bên trái, Bên phải",Bộ trò chơi Play Kit: Bên trái và Bên phải
U4.2,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,26,1,Bốn mùa I (Mùa Thu),Sách kể chuyện: Bibbity-Boop Cùng di chuyển,"Hiểu về lý thuyết số (Tư duy Toán học) - Số chẵn, số lẻ; đếm số theo nhóm; cơ sở của phép nhân",Bộ trò chơi Play Kit: Táo và Lê
U4.3,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,27,1,Gia đình và Hàng xóm,Sách kể chuyện: Lớp học nấu ăn của bà Wanda,Sự nhạy cảm (Tư duy sáng tạo) - Hiểu cảm xúc của người khác,Bộ trò chơi Play Kit: Thu hoạch
U4.4,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,28,1,Thiên nhiên,Sách kể chuyện: Phép thuật quả là khó khăn!,Hình 3D hoàn chỉnh và hình 3D một phần (Tư duy toán học),Bộ trò chơi Play Kit: Trái tim mình
U4.5,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,29,1,Bốn mùa II (Mùa Đông),Sách kể chuyện: Phù thủy Wanda bị ốm,Kiểm tra khả năng thống kê (Tư duy Logic) - Nhận diện các thuộc tính và đặc điểm chung; Hình thành và kiểm tra khả năng thống kê,Bộ trò chơi Play Kit: Khối lập phương
U4.5+,UCREA,3–5 tuổi,U4,,REVIEW,Thi giữa kỳ,4,1,90,30,1,Ôn tập giữa kỳ,Ôn tập U3.1 – U3.5,"Củng cố kiến thức, đánh giá giữa kỳ",
U4.6,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,31,1,Khỏe mạnh và An toàn,Sách kể chuyện: Ổ bánh mỳ khổng lồ,"Phép cộng và Phép trừ (Tư duy Toán học) - Đặt phép toán với 3 số, sử dụng dấu + và dấu -",Bộ trò chơi Play Kit: Phép toán khỏe khoắn
U4.7,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,32,1,Bốn Mùa III (Xuân),Sách kể chuyện: Lọ thuốc phép thuật,Kết hợp các thuộc tính khác nhau (Tư duy Logic) - VD: Chọn 3 trong 10 màu và tìm các vật có đủ 3 màu đó,Bộ trò chơi Play Kit: Sự kết hợp
U4.8,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,33,1,Vòng quanh thế giới,Sách kể chuyện: Bay trên cán chổi,Phân loại theo cấp độ (Tư duy logic) - Phân loại các đồ vật vào các nhóm khác nhau theo tiêu chí và sắp xếp theo 2-3 cấp độ,Bộ trò chơi Play Kit: Toán học trên thế giới
U4.9,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,34,1,Công cụ,Sách kể chuyện: Luna cáu kỉnh,Giải quyết vấn đề (Tư duy Logic) Phân loại các đồ vật dựa vào các nhóm khác nhau theo tiêu chí và theo 2-3 cấp độ,Bộ trò chơi Play Kit: Thuật toán ma thuật
U4.10,UCREA,3–5 tuổi,U4,,LESSON,,4,1,90,35,1,Bốn Mùa IV (Mùa Hè),Sách kể chuyện: Giải cứu Luna!,Hiểu các mẫu phức hợp (Tư duy Toán học),Bộ trò chơi Play Kit: Quái vật
U4.10+,UCREA,3–5 tuổi,U4,,REVIEW,Thi cuối kỳ,4,1,90,36,1,Ôn tập cuối kỳ,Ôn tập U3.6 – U3.10,"Củng cố kiến thức, đánh giá cuối kỳ",
J1,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-1,LESSON,,4,1,110,37,1,Pooka Wooka,Con số và phép toán,Nguyên tắc hệ thống số thập phân; Số có hai chữ số; Số nguyên và phân số,
J1,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-1,LESSON,,4,1,110,37,2,Làm quen với hình dạng,Hình học,"Hình tam giác, hình tứ giác và hình tròn; Vẽ và tạo hình dạng",
J2,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-2,LESSON,,4,1,110,38,1,Tìm bạn,Phân loại,Nhận biết các điểm giống nhau; Phân loại theo thuộc tính,
J2,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-2,LESSON,,4,1,110,38,2,Học viện vương quốc động vật,Kiểu mẫu và giải quyết vấn đề,Nhận diện các kiểu mẫu; Đoán hình dạng tiếp theo,
J3,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-3,LESSON,,4,1,110,39,1,Vùng đất của những con số,Con số và các phép toán,"Số đếm đến 100; Phép cộng, phép trừ và mối quan hệ giữa chúng",
J3,Bright I.G,Lớp 1–2 (6–7 tuổi),J,J-3,LESSON,Thi giữa kỳ,4,1,110,39,2,Ghép hình,Hình học,Hình dạng bộ phận và hình dạng toàn phần; Tổng thể và bộ phận,
